Spell,Damage,Description,
Acid Arrow,4d4," On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn",
Acid Splash,1d6, A target must succeed on a Dexterity saving throw or take 1d6 acid damage,
,,,
,,,
Blight,8d8," The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one",
,,,
Burning Hands,3d6," A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one",
Call Lightning,3d10," A creature takes 3d10 lightning damage on a failed save, or half as much damage on a successful one",
Chain Lightning,10d8," The target takes 10d8 lightning damage on a failed save, or half as much damage on a successful one",
Chill Touch,1d8," On a hit, the target takes 1d8 necrotic damage, and it can’t regain hit points until the start of your next turn",
Circle of Death,8d6," A target takes 8d6 necrotic damage on a failed save, or half as much damage on a successful one",
Cloudkill,5d8," The creature takes 5d8 poison damage on a failed save, or half as much damage on a successful one",
,,, the total is how many hit points of creatures this spell can effect
Cone of Cold,8d8," A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one",
Contact Other Plane,6d6," On a failure, you take 6d6 psychic damage and are insane until you finish a long rest",
,,,
,,,
Disintegrate,10d6," On a failed save, the target takes 10d6 + 40 force damage",
,,,
Eldritch Blast,1d10," On a hit, the target takes 1d10 force damage",
,,,
,,,
Feeblemind,4d6, The target takes 4d6 psychic damage and must make an Intelligence saving throw,
,,,
Fire Bolt,1d10," On a hit, the target takes 1d10 fire damage",
Fire Storm,7d10," It takes 7d10 fire damage on a failed save, or half as much damage on a successful one",
Fireball,8d6," A target takes 8d6 fire damage on a failed save, or half as much damage on a successful one",
Flame Blade,3d6," On a hit, the target takes 3d6 fire damage",
,,,
Flaming Sphere,2d6," The creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one",
Freezing Sphere,10d6," On a failed save, a creature takes 10d6 cold damage",
,,,
Glyph of Warding,5d8," A creature takes 5d8 acid, cold, fire, lightning, or thunder damage on a failed saving throw (your choice when you create the glyph), or half as much damage on a successful one",
Guiding Bolt,4d6," On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then",
,,,
,,,
,,,
Hellish Rebuke,2d10," It takes 2d10 fire damage on a failed save, or half as much damage on a successful one",
,,,
Ice Storm,4d6," A creature takes 2d8 bludgeoning damage and 4d6 cold damage on a failed save, or half as much damage on a successful one",
Inflict Wounds,3d10," On a hit, the target takes 3d10 necrotic damage",
Insect Plague,4d10," A creature takes 4d10 piercing damage on a failed save, or half as much damage on a successful one",
Lightning Bolt,8d6," A creature takes 8d6 lightning damage on a failed save, or half as much damage on a successful one",
Magic Missile,1d4, A dart deals 1d4 + 1 force damage to its target,
,,,
,,,
Meteor Swarm,20d6," A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one",
,,,
Poison Spray,1d12, The creature must succeed on a Constitution saving throw or take 1d12 poison damage,
,,,
Ray of Frost,1d8," On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn",
,,,
Sacred Flame,1d8, The target must succeed on a Dexterity saving throw or take 1d8 radiant damage,
Scorching Ray,2d6," On a hit, the target takes 2d6 fire damage",
Shatter,3d8," A creature takes 3d8 thunder damage on a failed save, or half as much damage on a successful one",
Shocking Grasp,1d8," On a hit, the target takes 1d8 lightning damage, and it can’t take reactions until the start of its next turn",
,,, the total is how many hit points of creatures this spell can affect
,,,
,,,
Spiritual Weapon,1d8," On a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier",
Storm of Vengeance,2d6," On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 5 minutes",
Sunbeam,6d8," On a failed save, a creature takes 6d8 radiant damage and is blinded until your next turn",
Sunburst,2d6," On a failed save, a creature takes 12d6 radiant damage and is blinded for 1 minute",
Thunderwave,2d8," On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you",
,,,
,,,
,,,
Wall of Fire,5d8," On a failed save, a creature takes 5d8 fire damage, or half as much damage on a successful save",
Wall of Ice,10d6," On a failed save, the creature takes 10d6 cold damage, or half as much damage on a successful save",
Wall of Thorns,7d8," On a failed save, a creature takes 7d8 piercing damage, or half as much damage on a successful save",
